Fecha,Estacion,Temperatura
2023-01-30 13:02:12,ESFP2,14.883662109375
2023-01-30 15:02:12,ESFP2,10.250419921875
2023-01-30 17:02:12,ESFP2,10.12171875
2023-01-30 19:02:12,ESFP2,6.646787109375
2023-01-30 21:02:12,ESFP2,6.26068359375
2023-01-30 23:02:12,ESFP2,6.818388671875
2023-01-31 01:02:12,ESFP2,6.989990234375
2023-01-31 03:02:12,ESFP2,7.504794921875
2023-01-31 05:02:12,ESFP2,7.11869140625
2023-01-31 07:02:12,ESFP2,7.847998046875
2023-01-31 09:02:12,ESFP2,7.933798828125
2023-01-31 11:02:12,ESFP2,12.395439453125
2023-01-31 13:02:12,ESFP2,14.15435546875
2023-01-31 15:02:12,ESFP2,12.6957421875
2023-01-31 17:02:12,ESFP2,11.23712890625
2023-01-31 19:02:12,ESFP2,8.877607421875
2023-01-31 21:02:12,ESFP2,8.74890625
2023-01-31 23:02:12,ESFP2,8.0625
2023-02-01 01:02:12,ESFP2,6.646787109375
2023-02-01 03:02:12,ESFP2,5.8316796875
2023-02-01 05:02:12,ESFP2,5.445576171875
2023-02-01 07:02:12,ESFP2,5.14527343749999
2023-02-01 09:02:12,ESFP2,5.40267578125
2023-02-01 11:02:12,ESFP2,9.9501171875
2023-02-01 13:02:12,ESFP2,11.537431640625
2023-02-01 15:02:12,ESFP2,12.223837890625
2023-02-01 17:02:12,ESFP2,10.679423828125
2023-02-01 19:02:12,ESFP2,7.504794921875
2023-02-01 21:02:12,ESFP2,6.303583984375
2023-02-01 23:02:12,ESFP2,5.531376953125
2023-02-02 01:02:12,ESFP2,4.88787109375
2023-02-02 03:02:12,ESFP2,5.188173828125
2023-02-02 05:02:12,ESFP2,5.660078125
2023-02-02 07:02:12,ESFP2,5.617177734375
2023-02-02 09:02:12,ESFP2,5.74587890625
2023-02-02 11:02:12,ESFP2,9.69271484375
2023-02-02 13:02:12,ESFP2,11.837734375
2023-02-02 15:02:12,ESFP2,12.138037109375
2023-02-02 17:02:12,ESFP2,11.537431640625
2023-02-02 19:02:12,ESFP2,7.762197265625
2023-02-02 21:02:12,ESFP2,7.676396484375
2023-02-02 23:02:12,ESFP2,6.904189453125
2023-02-03 01:02:12,ESFP2,6.389384765625
2023-02-03 03:02:12,ESFP2,8.620205078125
2023-02-03 05:02:12,ESFP2,8.5773046875
2023-02-03 07:02:12,ESFP2,8.877607421875
2023-02-03 09:02:12,ESFP2,8.534404296875
2023-02-03 11:02:12,ESFP2,11.709033203125
2023-02-03 13:02:12,ESFP2,12.738642578125
2023-02-03 15:02:12,ESFP2,12.86734375
2023-02-03 17:02:12,ESFP2,11.966435546875
2023-02-03 19:02:12,ESFP2,7.8908984375
2023-02-03 21:02:12,ESFP2,6.94708984375
2023-02-03 23:02:12,ESFP2,6.989990234375
2023-02-04 01:02:12,ESFP2,6.21778320312499
2023-02-04 03:02:12,ESFP2,6.303583984375
2023-02-04 05:02:12,ESFP2,6.560986328125
2023-02-04 07:02:12,ESFP2,7.590595703125
2023-02-04 09:02:12,ESFP2,9.135009765625
2023-02-04 11:02:12,ESFP2,14.454658203125
2023-02-04 13:02:12,ESFP2,16.170673828125
2023-02-04 15:02:12,ESFP2,15.61296875
2023-02-04 17:02:12,ESFP2,12.78154296875
2023-02-04 19:02:12,ESFP2,10.679423828125
2023-02-04 21:02:12,ESFP2,13.596650390625
2023-02-04 23:02:12,ESFP2,14.49755859375
2023-02-05 01:02:12,ESFP2,15.18396484375
2023-02-05 03:02:12,ESFP2,13.510849609375
2023-02-05 05:02:12,ESFP2,11.623232421875
2023-02-05 07:02:12,ESFP2,10.55072265625
2023-02-05 09:02:12,ESFP2,9.2637109375
2023-02-05 11:02:12,ESFP2,13.29634765625
2023-02-05 13:02:12,ESFP2,14.84076171875
2023-02-05 15:02:12,ESFP2,14.025654296875
2023-02-05 17:02:12,ESFP2,12.738642578125
2023-02-05 19:02:12,ESFP2,8.5773046875
2023-02-05 21:02:12,ESFP2,8.019599609375
2023-02-05 23:02:12,ESFP2,6.389384765625
2023-02-06 01:02:12,ESFP2,7.333193359375
2023-02-06 03:02:12,ESFP2,6.904189453125
2023-02-06 05:02:12,ESFP2,7.247392578125
2023-02-06 07:02:12,ESFP2,8.0625
2023-02-06 09:02:12,ESFP2,9.092109375
2023-02-06 11:02:12,ESFP2,10.6365234375
2023-02-06 13:02:12,ESFP2,14.9265625
2023-02-06 15:02:12,ESFP2,10.808125
2023-02-06 17:02:12,ESFP2,7.80509765625
2023-02-06 19:02:12,ESFP2,6.5180859375
2023-02-06 21:02:12,ESFP2,6.346484375
2023-02-06 23:02:12,ESFP2,5.531376953125
2023-02-07 01:02:12,ESFP2,5.4884765625
2023-02-07 03:02:12,ESFP2,5.316875
2023-02-07 05:02:12,ESFP2,4.8020703125
2023-02-07 07:02:12,ESFP2,5.23107421875
2023-02-07 09:02:12,ESFP2,5.57427734375
2023-02-07 11:02:12,ESFP2,9.17791015625
2023-02-07 13:02:12,ESFP2,11.151328125
2023-02-07 15:02:12,ESFP2,10.6365234375
2023-02-07 17:02:12,ESFP2,9.2637109375
2023-02-07 19:02:12,ESFP2,8.019599609375
2023-02-07 21:02:12,ESFP2,7.075791015625
2023-02-07 23:02:12,ESFP2,6.904189453125
2023-02-08 01:02:12,ESFP2,6.818388671875
2023-02-08 03:02:12,ESFP2,7.075791015625
2023-02-08 05:02:12,ESFP2,7.418994140625
2023-02-08 07:02:12,ESFP2,6.904189453125
2023-02-08 09:02:12,ESFP2,7.46189453125
2023-02-08 11:02:12,ESFP2,10.12171875
2023-02-08 13:02:12,ESFP2,10.593623046875
2023-02-08 15:02:12,ESFP2,11.75193359375
2023-02-08 17:02:12,ESFP2,10.808125
2023-02-08 19:02:12,ESFP2,8.620205078125
2023-02-08 21:02:12,ESFP2,7.80509765625
2023-02-08 23:02:12,ESFP2,7.676396484375
2023-02-09 01:02:12,ESFP2,6.60388671875
2023-02-09 03:02:12,ESFP2,6.646787109375
2023-02-09 05:02:12,ESFP2,7.032890625
2023-02-09 07:02:12,ESFP2,6.904189453125
2023-02-09 09:02:12,ESFP2,7.333193359375
2023-02-09 11:02:12,ESFP2,10.464921875
2023-02-09 13:02:12,ESFP2,10.679423828125
2023-02-09 15:02:12,ESFP2,9.392412109375
2023-02-09 17:02:12,ESFP2,9.220810546875
